,2014,City Name,City Code
0,23490736,Australia,AUS
1,4840628,Sydney,AUS01
2,4440328,Melbourne,AUS02
3,2274560,Brisbane,AUS03
4,2021203,Perth,AUS04
5,1304631,Adelaide,AUS05
6,560266,Gold Coast-Tweed Heads,AUS06
7,8506889,Austria,AUT
8,2793631,Vienna,AT001
9,633168,Graz,AT002
10,616829,Linz,AT003
11,11203992,Belgium,BEL
12,2588102,Brussels,BE001
13,1081904,Antwerp,BE002
14,592100,Ghent,BE003
15,739798,Liege,BE005
16,35540419,Canada,CAN
17,2479623,Vancouver,CAN09
18,4394467,Montreal,CAN20
19,6947229,Toronto,CAN26
20,1283049,Edmonton,CAN01
21,1417661,Calgary,CAN04
22,836416,Winnipeg,CAN06
23,865926,Quebec,CAN16
24,1477881,Ottawa-Gatineau,CAN21
25,619024,Hamilton,CAN29
26,8139631,Switzerland,CHE
27,1246968,Zurich,CH001
28,831452,Geneva,CH002
29,780223,Basel,CH003
30,17819054,Chile,CHL
31,1006737,Valparaíso,CL010
32,6679313,Santiago,CL011
33,914764,Concepción,CL020
34,10512419,Czech Republic,CZE
35,1910396,Prague,CZ001
36,646421,Brno,CZ002
37,561242,Ostrava,CZ003
38,80767463,Germany,DEU
39,4399542,Berlin,DE001
40,3008841,Hamburg,DE002
41,2965871,Munich,DE003
42,1926073,Cologne,DE004
43,2533311,Frankfurt,DE005
44,1965942,Stuttgart,DE007
45,741301,Essen,DE006
46,830318,Leipzig,DE008
47,847600,Dresden,DE009
48,804678,Dortmund,DE010
49,1427823,Düsseldorf,DE011
50,1027192,Bremen,DE012
51,1217511,Hanover,DE013
52,1169367,Nuremberg,DE014
53,622463,Bochum,DE015
54,536578,Freiburg im Breisgau,DE027
55,606286,Augsburg,DE033
56,750370,Bonn,DE034
57,695098,Karlsruhe,DE035
58,570479,Saarbrücken,DE040
59,793477,Duisburg,DE501
60,1230276,Mannheim,DE502
61,559514,Münster,DE504
62,575876,Aachen,DE507
63,5627235,Denmark,DNK
64,2025171,Copenhagen,DK001
65,1315819,Estonia,EST
66,530530,Tallinn,EE001
67,46512199,Spain,ESP
68,7079173,Madrid,ES001
69,3846697,Barcelona,ES002
70,1668153,Valencia,ES003
71,1500644,Seville,ES004
72,879797,Zaragoza,ES005
73,898253,Málaga,ES006
74,683159,Las Palmas,ES008
75,1013805,Bilbao,ES019
76,5451270,Finland,FIN
77,1498050,Helsinki,FI001
78,63920247,France,FRA
79,12037889,Paris,FR001
80,1960847,Lyon,FR003
81,1773503,Marseille,FR203
82,1309149,Toulouse,FR004
83,776584,Strasbourg,FR006
84,1175699,Bordeaux,FR007
85,910493,Nantes,FR008
86,1363465,Lille,FR009
87,672754,Montpellier,FR010
88,525488,Saint-Étienne,FR011
89,713771,Rennes,FR013
90,663114,Grenoble,FR026
91,561322,Toulon,FR032
92,865195,Nice,FR205
93,712615,Rouen,FR215
94,10903704,Greece,GRC
95,3535055,Athens,GR001
96,975439,Thessalonica,GR002
97,9877365,Hungary,HUN
98,2879601,Budapest,HU001
99,4605501,Ireland,IRL
100,1836119,Dublin,IE001
101,60782668,Italy,ITA
102,4149364,Rome,IT001
103,4159854,Milan,IT002
104,3572928,Naples,IT003
105,1774507,Turin,IT004
106,940259,Palermo,IT005
107,707321,Genova,IT006
108,732746,Florence,IT007
109,583764,Bari,IT008
110,763811,Bologna,IT009
111,630814,Catania,IT010
112,545570,Venice,IT011
113,127083000,Japan,JPN
114,1599433,Sendai,JP013
115,2224201,Sapporo,JP003
116,35925101,Tokyo,JP030
117,6500074,Nagoya,JP034
118,17343816,Osaka,JP038
119,2599911,Fukuoka,JP066
120,1036187,Niigata,JP015
121,543730,Toyama,JP020
122,533018,Nagano,JP021
123,751445,Kanazawa,JP023
124,812783,Utsunomiya,JP024
125,987316,Maebashi,JP025
126,593682,Mito,JP026
127,514589,Kofu,JP031
128,529559,Numazu,JP036
129,731863,Shizuoka,JP039
130,780970,Anjo,JP040
131,581797,Yokkaichi,JP042
132,712767,Himeji,JP046
133,614046,Toyohashi,JP047
134,993212,Hamamatsu,JP048
135,891180,Okayama,JP050
136,596609,Kurashiki,JP051
137,556149,Fukuyama,JP052
138,1419358,Hiroshima,JP053
139,641872,Takamatsu,JP054
140,521972,Wakayama,JP055
141,557512,Tokushima,JP059
142,1155450,Kitakyushu,JP064
143,645739,Matsuyama,JP065
144,487693,Kochi,JP067
145,556647,Oita,JP071
146,987866,Kumamoto,JP074
147,508050,Nagasaki,JP075
148,703839,Kagoshima,JP077
149,1175512,Naha,JP078
150,50423955,Korea,KOR
151,24948523,Seoul Incheon,KR004
152,2731064,Daegu,KR025
153,3432960,Busan,KR032
154,797873,Cheongju,KR015
155,1676167,Daejeon,KR018
156,524804,Pohang,KR022
157,734344,Jeonju,KR026
158,1082994,Ulsan,KR029
159,730267,Changwon,KR033
160,1668574,Gwangju,KR035
161,119713211,Mexico,MEX
162,1041837,Mexicali,MEX01
163,1793265,Tijuana,MEX02
164,1417787,Juárez,MEX05
165,869669,Hermosillo,MEX08
166,905079,Chihuahua,MEX10
167,834750,Reynosa,MEX16
168,4823452,Monterrey,MEX19
169,1348608,Torreón,MEX20
170,797444,Saltillo,MEX21
171,910982,Culiacán,MEX22
172,625895,Durango,MEX24
173,821685,Tampico,MEX28
174,1288885,San Luis Potosí,MEX29
175,1055539,Aguascalientes,MEX31
176,797657,Benito Juárez,MEX33
177,1775758,León,MEX34
178,1422422,Mérida,MEX35
179,4905204,Guadalajara,MEX37
180,572778,Irapuato,MEX38
181,1273803,Querétaro,MEX40
182,653928,Celaya,MEX42
183,646880,Pachuca de Soto,MEX46
184,924462,Morelia,MEX50
185,20404259,Mexico City,MEX51
186,789353,Xalapa,MEX52
187,2167067,Toluca,MEX55
188,844813,Veracruz,MEX59
189,2342519,Puebla,MEX60
190,947963,Cuernavaca,MEX61
191,960063,Centro,MEX70
192,805102,Oaxaca de Juárez,MEX73
193,827942,Acapulco de Juárez,MEX74
194,826276,Tuxtla Gutiérrez,MEX75
195,16829289,The Netherlands,NLD
196,2452659,Amsterdam,NL002
197,906897,The Hague,NL001
198,1509373,Rotterdam,NL003
199,754615,Utrecht,NL004
200,700299,Eindhoven,NL005
201,5107970,Norway,NOR
202,1299955,Oslo,NO001
203,38017856,Poland,POL
204,3037890,Warsaw,PL001
205,2589349,Katowice,PL010
206,939568,Lódz,PL002
207,1362740,Kraków,PL003
208,837995,Wroclaw,PL004
209,950596,Poznan,PL005
210,1105467,Gdansk,PL006
211,671410,Lublin,PL009
212,10427301,Portugal,PRT
213,2886662,Lisbon,PT001
214,1313829,Porto,PT002
215,9644864,Sweden,SWE
216,2018208,Stockholm,SE001
217,898541,Gothenburg,SE002
218,676852,Malmö,SE003
219,2061085,Slovenia,SVN
220,585850,Ljubljana,SI001
221,5415949,Slovak Republic,SVK
222,729157,Bratislava,SK001
223,64308261,United Kingdom,GBR
224,12401188,London,UK001
225,1957078,Birmingham (UK),UK002
226,1197922,Leeds,UK003
227,577474,Bradford,UK004
228,954181,Liverpool,UK005
229,1935559,Manchester,UK006
230,664861,Cardiff,UK007
231,920128,Sheffield,UK008
232,836621,Bristol,UK009
233,1082729,Newcastle,UK010
234,692217,Leicester,UK011
235,594455,Portsmouth,UK017
236,863918,Nottingham,UK023
237,967101,Glasgow,UK097
238,764454,Edinburgh,UK098
239,318857056,United States,USA
240,4066064,Philadelphia,US106
241,1970809,Columbus,US107
242,2732325,Denver,US114
243,2358928,Portland,US012
244,1996200,Baltimore,US122
245,2165678,Cincinnati,US124
246,6022391,Washington,US125
247,2098357,Kansas City,US128
248,2610223,Saint Louis (US),US134
249,2311721,Sacramento/Roseville,US135
250,3496061,Minneapolis,US014
251,6989419,San Francisco,US146
252,17718858,Los Angeles,US190
253,4762159,Atlanta,US196
254,4163445,Phoenix,US202
255,4547218,Dallas,US209
256,3215637,San Diego,US210
257,6519358,Houston,US242
258,2345730,San Antonio,US245
259,2374184,Orlando,US250
260,5805883,Miami,US259
261,2776119,Seattle,US003
262,1579180,Milwaukee,US033
263,3801161,Detroit,US045
264,3684250,Boston,US048
265,9655015,Chicago,US055
266,1468288,Cleveland,US069
267,16713992,New York,US084
268,591987,Harrisburg,US103
269,1769561,Indianapolis,US115
270,693273,Dayton,US117
271,694770,Colorado Springs,US133
272,1286409,Louisville,US141
273,609887,Wichita,US147
274,533689,Richmond,US149
275,1109942,Norfolk-Portsmouth-Chesapeake-Virginia beach,US154
276,1152979,Fresno,US155
277,2293610,Las Vegas,US159
278,1328572,Nashville,US160
279,982186,Tulsa,US161
280,1300612,Raleigh,US170
281,1323960,Oklahoma city,US174
282,1474164,Charlotte,US178
283,960839,Albuquerque,US180
284,1378346,Memphis,US181
285,712108,Little Rock,US186
286,697051,Columbia,US195
287,937789,Birmingham (US),US205
288,2107791,Fort Worth,US212
289,718907,Charleston,US213
290,1040867,Tucson,US223
291,858421,El Paso,US227
292,675818,Baton Rouge,US233
293,1958079,Austin,US234
294,1452647,Jacksonville,US237
295,1150702,New Orleans,US241
296,1438208,Clearwater/Saint Petersburg,US251
297,1335571,Tampa,US252
298,876304,Mcallen,US261
299,573789,Madison,US035
300,1121972,Buffalo,US038
301,614322,Grand Rapids,US039
302,889447,Albany,US044
303,844060,Providence,US060
304,436627,Toledo (US),US065
305,645279,Des Moines,US070
306,909370,Omaha,US077
307,541333,Akron,US081
308,1195080,Salt Lake City,US089
309,1200874,Pittsburgh,US097
