,Total land area (km2),City Name,City Code
0,7703354.0,Australia,AUS
1,12229.11,Sydney,AUS01
2,10103.28,Melbourne,AUS02
3,15441.89,Brisbane,AUS03
4,6309.49,Perth,AUS04
5,3239.1,Adelaide,AUS05
6,1811.08,Gold Coast-Tweed Heads,AUS06
7,82450.2,Austria,AUT
8,9093.06,Vienna,AT001
9,3074.2,Graz,AT002
10,3523.72,Linz,AT003
11,30328.0,Belgium,BEL
12,3265.7,Brussels,BE001
13,1169.26,Antwerp,BE002
14,1017.36,Ghent,BE003
15,1414.19,Liege,BE005
16,9093507.0,Canada,CAN
17,5063.57,Vancouver,CAN09
18,10962.77,Montreal,CAN20
19,14412.81,Toronto,CAN26
20,19808.01,Edmonton,CAN01
21,12478.49,Calgary,CAN04
22,21715.54,Winnipeg,CAN06
23,6123.6,Quebec,CAN16
24,17251.92,Ottawa-Gatineau,CAN21
25,2571.88,Hamilton,CAN29
26,39995.7,Switzerland,CHE
27,1176.16,Zurich,CH001
28,1566.51,Geneva,CH002
29,1430.18,Basel,CH003
30,740243.0,Chile,CHL
31,1323.84,Valparaíso,CL010
32,4557.33,Santiago,CL011
33,1868.67,Concepción,CL020
34,77258.0,Czech Republic,CZE
35,3929.04,Prague,CZ001
36,2359.25,Brno,CZ002
37,931.72,Ostrava,CZ003
38,357093.0,Germany,DEU
39,6176.37,Berlin,DE001
40,5760.18,Hamburg,DE002
41,6263.09,Munich,DE003
42,1971.56,Cologne,DE004
43,3888.09,Frankfurt,DE005
44,1987.61,Stuttgart,DE007
45,344.67,Essen,DE006
46,2121.96,Leipzig,DE008
47,1716.19,Dresden,DE009
48,547.87,Dortmund,DE010
49,1132.95,Düsseldorf,DE011
50,3176.34,Bremen,DE012
51,3090.73,Hanover,DE013
52,3122.57,Nuremberg,DE014
53,319.87,Bochum,DE015
54,1515.07,Freiburg im Breisgau,DE027
55,1803.5,Augsburg,DE033
56,1066.66,Bonn,DE034
57,1323.91,Karlsruhe,DE035
58,1040.99,Saarbrücken,DE040
59,671.31,Duisburg,DE501
60,1949.78,Mannheim,DE502
61,1706.47,Münster,DE504
62,775.3,Aachen,DE507
63,43097.0,Denmark,DNK
64,4083.69,Copenhagen,DK001
65,43432.0,Estonia,EST
66,4326.3,Tallinn,EE001
67,501757.0,Spain,ESP
68,11537.63,Madrid,ES001
69,1362.03,Barcelona,ES002
70,1474.97,Valencia,ES003
71,4164.31,Seville,ES004
72,11890.63,Zaragoza,ES005
73,1623.07,Málaga,ES006
74,790.06,Las Palmas,ES008
75,1141.01,Bilbao,ES019
76,304111.7,Finland,FIN
77,6350.71,Helsinki,FI001
78,543965.0,France,FRA
79,12089.37,Paris,FR001
80,3647.29,Lyon,FR003
81,4230.79,Marseille,FR203
82,5242.14,Toulouse,FR004
83,2030.87,Strasbourg,FR006
84,5485.85,Bordeaux,FR007
85,3143.52,Nantes,FR008
86,1453.1,Lille,FR009
87,2236.6,Montpellier,FR010
88,1799.48,Saint-Étienne,FR011
89,3815.73,Rennes,FR013
90,2694.43,Grenoble,FR026
91,1048.19,Toulon,FR032
92,3096.9,Nice,FR205
93,2870.11,Rouen,FR215
94,130820.0,Greece,GRC
95,1656.14,Athens,GR001
96,1399.95,Thessalonica,GR002
97,93028.4,Hungary,HUN
98,6056.87,Budapest,HU001
99,68394.0,Ireland,IRL
100,4767.19,Dublin,IE001
101,295114.0,Italy,ITA
102,5686.46,Rome,IT001
103,2637.77,Milan,IT002
104,1558.57,Naples,IT003
105,1781.34,Turin,IT004
106,835.58,Palermo,IT005
107,1113.59,Genova,IT006
108,1737.87,Florence,IT007
109,754.98,Bari,IT008
110,2036.1,Bologna,IT009
111,609.35,Catania,IT010
112,1089.17,Venice,IT011
113,373530.0,Japan,JPN
114,1658.58,Sendai,JP013
115,2174.93,Sapporo,JP003
116,8592.12,Tokyo,JP030
117,3943.23,Nagoya,JP034
118,7003.88,Osaka,JP038
119,1153.78,Fukuoka,JP066
120,1538.91,Niigata,JP015
121,1563.38,Toyama,JP020
122,1241.81,Nagano,JP021
123,1282.8,Kanazawa,JP023
124,989.68,Utsunomiya,JP024
125,1188.35,Maebashi,JP025
126,644.15,Mito,JP026
127,790.85,Kofu,JP031
128,482.25,Numazu,JP036
129,1171.16,Shizuoka,JP039
130,284.03,Anjo,JP040
131,433.2,Yokkaichi,JP042
132,881.27,Himeji,JP046
133,764.3,Toyohashi,JP047
134,1455.54,Hamamatsu,JP048
135,1096.05,Okayama,JP050
136,530.72,Kurashiki,JP051
137,707.01,Fukuyama,JP052
138,1193.35,Hiroshima,JP053
139,598.83,Takamatsu,JP054
140,422.57,Wakayama,JP055
141,791.65,Tokushima,JP059
142,564.54,Kitakyushu,JP064
143,796.88,Matsuyama,JP065
144,985.06,Kochi,JP067
145,928.52,Oita,JP071
146,813.83,Kumamoto,JP074
147,381.54,Nagasaki,JP075
148,762.65,Kagoshima,JP077
149,418.89,Naha,JP078
150,99461.0,Korea,KOR
151,4673.13,Seoul Incheon,KR004
152,1113.43,Daegu,KR025
153,724.77,Busan,KR032
154,578.93,Cheongju,KR015
155,995.6,Daejeon,KR018
156,814.95,Pohang,KR022
157,503.06,Jeonju,KR026
158,726.67,Ulsan,KR029
159,166.53,Changwon,KR033
160,696.43,Gwangju,KR035
161,1959248.0,Mexico,MEX
162,15813.24,Mexicali,MEX01
163,1252.14,Tijuana,MEX02
164,3577.67,Juárez,MEX05
165,16926.97,Hermosillo,MEX08
166,8861.48,Chihuahua,MEX10
167,4686.45,Reynosa,MEX16
168,10984.38,Monterrey,MEX19
169,11553.57,Torreón,MEX20
170,5562.31,Saltillo,MEX21
171,6238.98,Culiacán,MEX22
172,9185.1,Durango,MEX24
173,2091.3,Tampico,MEX28
174,5245.39,San Luis Potosí,MEX29
175,2308.08,Aguascalientes,MEX31
176,2089.92,Benito Juárez,MEX33
177,1744.18,León,MEX34
178,12501.47,Mérida,MEX35
179,2478.44,Guadalajara,MEX37
180,843.86,Irapuato,MEX38
181,2454.57,Querétaro,MEX40
182,1160.47,Celaya,MEX42
183,1594.31,Pachuca de Soto,MEX46
184,1935.06,Morelia,MEX50
185,5101.68,Mexico City,MEX51
186,1313.03,Xalapa,MEX52
187,2190.89,Toluca,MEX55
188,1056.65,Veracruz,MEX59
189,1343.51,Puebla,MEX60
190,947.07,Cuernavaca,MEX61
191,3209.37,Centro,MEX70
192,1702.22,Oaxaca de Juárez,MEX73
193,1731.31,Acapulco de Juárez,MEX74
194,2167.43,Tuxtla Gutiérrez,MEX75
195,33783.4,The Netherlands,NLD
196,2819.84,Amsterdam,NL002
197,296.87,The Hague,NL001
198,1480.0,Rotterdam,NL003
199,622.67,Utrecht,NL004
200,1199.68,Eindhoven,NL005
201,304280.0,Norway,NOR
202,7099.16,Oslo,NO001
203,312679.0,Poland,POL
204,8611.73,Warsaw,PL001
205,3920.33,Katowice,PL010
206,1693.68,Lódz,PL002
207,3749.06,Kraków,PL003
208,2635.24,Wroclaw,PL004
209,3077.07,Poznan,PL005
210,2615.68,Gdansk,PL006
211,3222.11,Lublin,PL009
212,92118.0,Portugal,PRT
213,3988.31,Lisbon,PT001
214,951.54,Porto,PT002
215,410335.4,Sweden,SWE
216,7106.87,Stockholm,SE001
217,3850.19,Gothenburg,SE002
218,3468.54,Malmö,SE003
219,20141.0,Slovenia,SVN
220,3145.03,Ljubljana,SI001
221,49033.8,Slovak Republic,SVK
222,2600.66,Bratislava,SK001
223,242509.2,United Kingdom,GBR
224,6920.87,London,UK001
225,1454.14,Birmingham (UK),UK002
226,1726.0,Leeds,UK003
227,443.63,Bradford,UK004
228,556.66,Liverpool,UK005
229,1435.01,Manchester,UK006
230,736.87,Cardiff,UK007
231,1109.88,Sheffield,UK008
232,807.31,Bristol,UK009
233,2873.08,Newcastle,UK010
234,1099.2,Leicester,UK011
235,428.6,Portsmouth,UK017
236,1110.74,Nottingham,UK023
237,855.84,Glasgow,UK097
238,1279.59,Edinburgh,UK098
239,9161923.0,United States,USA
240,4326.91,Philadelphia,US106
241,11491.61,Columbus,US107
242,21794.38,Denver,US114
243,17657.21,Portland,US012
244,3730.13,Baltimore,US122
245,10779.42,Cincinnati,US124
246,16605.51,Washington,US125
247,19095.39,Kansas City,US128
248,13001.75,Saint Louis (US),US134
249,13749.86,Sacramento/Roseville,US135
250,21030.86,Minneapolis,US014
251,17089.9,San Francisco,US146
252,83682.18,Los Angeles,US190
253,9796.08,Atlanta,US196
254,23889.14,Phoenix,US202
255,12067.76,Dallas,US209
256,11028.58,San Diego,US210
257,22488.43,Houston,US242
258,19126.6,San Antonio,US245
259,10390.36,Orlando,US250
260,14179.44,Miami,US259
261,11172.99,Seattle,US003
262,3865.74,Milwaukee,US033
263,5244.45,Detroit,US045
264,4829.9,Boston,US048
265,18910.46,Chicago,US055
266,1790.11,Cleveland,US069
267,9882.07,New York,US084
268,5330.03,Harrisburg,US103
269,6929.77,Indianapolis,US115
270,2280.64,Dayton,US117
271,6963.22,Colorado Springs,US133
272,9429.64,Louisville,US141
273,9428.96,Wichita,US147
274,795.09,Richmond,US149
275,3054.99,Norfolk-Portsmouth-Chesapeake-Virginia beach,US154
276,21162.1,Fresno,US155
277,67988.47,Las Vegas,US159
278,9094.09,Nashville,US160
279,18235.43,Tulsa,US161
280,5562.72,Raleigh,US170
281,14456.94,Oklahoma city,US174
282,4016.56,Charlotte,US178
283,24079.87,Albuquerque,US180
284,13234.05,Memphis,US181
285,7781.82,Little Rock,US186
286,3961.67,Columbia,US195
287,6692.58,Birmingham (US),US205
288,4681.62,Fort Worth,US212
289,7361.17,Charleston,US213
290,23799.97,Tucson,US223
291,14467.58,El Paso,US227
292,6438.7,Baton Rouge,US233
293,11084.37,Austin,US234
294,8871.53,Jacksonville,US237
295,12510.83,New Orleans,US241
296,2853.86,Clearwater/Saint Petersburg,US251
297,2819.26,Tampa,US252
298,4102.0,Mcallen,US261
299,5268.07,Madison,US035
300,4111.52,Buffalo,US038
301,2258.97,Grand Rapids,US039
302,7454.61,Albany,US044
303,1665.12,Providence,US060
304,908.74,Toledo (US),US065
305,9020.15,Des Moines,US070
306,11411.74,Omaha,US077
307,1087.89,Akron,US081
308,27710.01,Salt Lake City,US089
309,1928.85,Pittsburgh,US097
