Series Name,Series Code,Country Name,Country Code,2015
Surface area (sq. km),AG.SRF.TOTL.K2,Afghanistan,AFG,652860
Surface area (sq. km),AG.SRF.TOTL.K2,Albania,ALB,28750
Surface area (sq. km),AG.SRF.TOTL.K2,Algeria,DZA,2381740
Surface area (sq. km),AG.SRF.TOTL.K2,American Samoa,ASM,200
Surface area (sq. km),AG.SRF.TOTL.K2,Andorra,ADO,470
Surface area (sq. km),AG.SRF.TOTL.K2,Angola,AGO,1246700
Surface area (sq. km),AG.SRF.TOTL.K2,Antigua and Barbuda,ATG,440
Surface area (sq. km),AG.SRF.TOTL.K2,Argentina,ARG,2780400
Surface area (sq. km),AG.SRF.TOTL.K2,Armenia,ARM,29740
Surface area (sq. km),AG.SRF.TOTL.K2,Aruba,ABW,180
Surface area (sq. km),AG.SRF.TOTL.K2,Australia,AUS,7741220
Surface area (sq. km),AG.SRF.TOTL.K2,Austria,AUT,83879
Surface area (sq. km),AG.SRF.TOTL.K2,Azerbaijan,AZE,86600
Surface area (sq. km),AG.SRF.TOTL.K2,"Bahamas, The",BHS,13880
Surface area (sq. km),AG.SRF.TOTL.K2,Bahrain,BHR,770
Surface area (sq. km),AG.SRF.TOTL.K2,Bangladesh,BGD,148460
Surface area (sq. km),AG.SRF.TOTL.K2,Barbados,BRB,430
Surface area (sq. km),AG.SRF.TOTL.K2,Belarus,BLR,207600
Surface area (sq. km),AG.SRF.TOTL.K2,Belgium,BEL,30530
Surface area (sq. km),AG.SRF.TOTL.K2,Belize,BLZ,22970
Surface area (sq. km),AG.SRF.TOTL.K2,Benin,BEN,114760
Surface area (sq. km),AG.SRF.TOTL.K2,Bermuda,BMU,50
Surface area (sq. km),AG.SRF.TOTL.K2,Bhutan,BTN,38394
Surface area (sq. km),AG.SRF.TOTL.K2,Bolivia,BOL,1098580
Surface area (sq. km),AG.SRF.TOTL.K2,Bosnia and Herzegovina,BIH,51210
Surface area (sq. km),AG.SRF.TOTL.K2,Botswana,BWA,581730
Surface area (sq. km),AG.SRF.TOTL.K2,Brazil,BRA,8515770
Surface area (sq. km),AG.SRF.TOTL.K2,British Virgin Islands,VGB,150
Surface area (sq. km),AG.SRF.TOTL.K2,Brunei Darussalam,BRN,5770
Surface area (sq. km),AG.SRF.TOTL.K2,Bulgaria,BGR,111000
Surface area (sq. km),AG.SRF.TOTL.K2,Burkina Faso,BFA,274220
Surface area (sq. km),AG.SRF.TOTL.K2,Burundi,BDI,27830
Surface area (sq. km),AG.SRF.TOTL.K2,Cabo Verde,CPV,4030
Surface area (sq. km),AG.SRF.TOTL.K2,Cambodia,KHM,181040
Surface area (sq. km),AG.SRF.TOTL.K2,Cameroon,CMR,475440
Surface area (sq. km),AG.SRF.TOTL.K2,Canada,CAN,9984670
Surface area (sq. km),AG.SRF.TOTL.K2,Cayman Islands,CYM,264
Surface area (sq. km),AG.SRF.TOTL.K2,Central African Republic,CAF,622980
Surface area (sq. km),AG.SRF.TOTL.K2,Chad,TCD,1284000
Surface area (sq. km),AG.SRF.TOTL.K2,Channel Islands,CHI,190
Surface area (sq. km),AG.SRF.TOTL.K2,Chile,CHL,756096
Surface area (sq. km),AG.SRF.TOTL.K2,China,CHN,9562911
Surface area (sq. km),AG.SRF.TOTL.K2,Colombia,COL,1141749
Surface area (sq. km),AG.SRF.TOTL.K2,Comoros,COM,1861
Surface area (sq. km),AG.SRF.TOTL.K2,"Congo, Dem. Rep.",ZAR,2344860
Surface area (sq. km),AG.SRF.TOTL.K2,"Congo, Rep.",COG,342000
Surface area (sq. km),AG.SRF.TOTL.K2,Costa Rica,CRI,51100
Surface area (sq. km),AG.SRF.TOTL.K2,Cote d'Ivoire,CIV,322460
Surface area (sq. km),AG.SRF.TOTL.K2,Croatia,HRV,56590
Surface area (sq. km),AG.SRF.TOTL.K2,Cuba,CUB,109880
Surface area (sq. km),AG.SRF.TOTL.K2,Curacao,CUW,444
Surface area (sq. km),AG.SRF.TOTL.K2,Cyprus,CYP,9250
Surface area (sq. km),AG.SRF.TOTL.K2,Czech Republic,CZE,78870
Surface area (sq. km),AG.SRF.TOTL.K2,Denmark,DNK,43090
Surface area (sq. km),AG.SRF.TOTL.K2,Djibouti,DJI,23200
Surface area (sq. km),AG.SRF.TOTL.K2,Dominica,DMA,750
Surface area (sq. km),AG.SRF.TOTL.K2,Dominican Republic,DOM,48670
Surface area (sq. km),AG.SRF.TOTL.K2,Ecuador,ECU,256370
Surface area (sq. km),AG.SRF.TOTL.K2,"Egypt, Arab Rep.",EGY,1001450
Surface area (sq. km),AG.SRF.TOTL.K2,El Salvador,SLV,21040
Surface area (sq. km),AG.SRF.TOTL.K2,Equatorial Guinea,GNQ,28050
Surface area (sq. km),AG.SRF.TOTL.K2,Eritrea,ERI,117600
Surface area (sq. km),AG.SRF.TOTL.K2,Estonia,EST,45230
Surface area (sq. km),AG.SRF.TOTL.K2,Ethiopia,ETH,1104300
Surface area (sq. km),AG.SRF.TOTL.K2,Faroe Islands,FRO,1396
Surface area (sq. km),AG.SRF.TOTL.K2,Fiji,FJI,18270
Surface area (sq. km),AG.SRF.TOTL.K2,Finland,FIN,338420
Surface area (sq. km),AG.SRF.TOTL.K2,France,FRA,549087
Surface area (sq. km),AG.SRF.TOTL.K2,French Polynesia,PYF,4000
Surface area (sq. km),AG.SRF.TOTL.K2,Gabon,GAB,267670
Surface area (sq. km),AG.SRF.TOTL.K2,"Gambia, The",GMB,11300
Surface area (sq. km),AG.SRF.TOTL.K2,Georgia,GEO,69700
Surface area (sq. km),AG.SRF.TOTL.K2,Germany,DEU,357170
Surface area (sq. km),AG.SRF.TOTL.K2,Ghana,GHA,238540
Surface area (sq. km),AG.SRF.TOTL.K2,Gibraltar,GIB,10
Surface area (sq. km),AG.SRF.TOTL.K2,Greece,GRC,131960
Surface area (sq. km),AG.SRF.TOTL.K2,Greenland,GRL,410450
Surface area (sq. km),AG.SRF.TOTL.K2,Grenada,GRD,340
Surface area (sq. km),AG.SRF.TOTL.K2,Guam,GUM,540
Surface area (sq. km),AG.SRF.TOTL.K2,Guatemala,GTM,108890
Surface area (sq. km),AG.SRF.TOTL.K2,Guinea,GIN,245860
Surface area (sq. km),AG.SRF.TOTL.K2,Guinea-Bissau,GNB,36130
Surface area (sq. km),AG.SRF.TOTL.K2,Guyana,GUY,214970
Surface area (sq. km),AG.SRF.TOTL.K2,Haiti,HTI,27750
Surface area (sq. km),AG.SRF.TOTL.K2,Honduras,HND,112490
Surface area (sq. km),AG.SRF.TOTL.K2,"Hong Kong SAR, China",HKG,1100
Surface area (sq. km),AG.SRF.TOTL.K2,Hungary,HUN,93030
Surface area (sq. km),AG.SRF.TOTL.K2,Iceland,ISL,103000
Surface area (sq. km),AG.SRF.TOTL.K2,India,IND,3287260
Surface area (sq. km),AG.SRF.TOTL.K2,Indonesia,IDN,1910930
Surface area (sq. km),AG.SRF.TOTL.K2,"Iran, Islamic Rep.",IRN,1745150
Surface area (sq. km),AG.SRF.TOTL.K2,Iraq,IRQ,435240
Surface area (sq. km),AG.SRF.TOTL.K2,Ireland,IRL,70280
Surface area (sq. km),AG.SRF.TOTL.K2,Isle of Man,IMY,570
Surface area (sq. km),AG.SRF.TOTL.K2,Israel,ISR,22070
Surface area (sq. km),AG.SRF.TOTL.K2,Italy,ITA,301340
Surface area (sq. km),AG.SRF.TOTL.K2,Jamaica,JAM,10990
Surface area (sq. km),AG.SRF.TOTL.K2,Japan,JPN,377962
Surface area (sq. km),AG.SRF.TOTL.K2,Jordan,JOR,89320
Surface area (sq. km),AG.SRF.TOTL.K2,Kazakhstan,KAZ,2724902
Surface area (sq. km),AG.SRF.TOTL.K2,Kenya,KEN,580370
Surface area (sq. km),AG.SRF.TOTL.K2,Kiribati,KIR,810
Surface area (sq. km),AG.SRF.TOTL.K2,"Korea, Dem. Peopleâ€™s Rep.",PRK,120540
Surface area (sq. km),AG.SRF.TOTL.K2,"Korea, Rep.",KOR,100266
Surface area (sq. km),AG.SRF.TOTL.K2,Kosovo,KSV,10887
Surface area (sq. km),AG.SRF.TOTL.K2,Kuwait,KWT,17820
Surface area (sq. km),AG.SRF.TOTL.K2,Kyrgyz Republic,KGZ,199949
Surface area (sq. km),AG.SRF.TOTL.K2,Lao PDR,LAO,236800
Surface area (sq. km),AG.SRF.TOTL.K2,Latvia,LVA,64490
Surface area (sq. km),AG.SRF.TOTL.K2,Lebanon,LBN,10450
Surface area (sq. km),AG.SRF.TOTL.K2,Lesotho,LSO,30360
Surface area (sq. km),AG.SRF.TOTL.K2,Liberia,LBR,111370
Surface area (sq. km),AG.SRF.TOTL.K2,Libya,LBY,1759540
Surface area (sq. km),AG.SRF.TOTL.K2,Liechtenstein,LIE,160
Surface area (sq. km),AG.SRF.TOTL.K2,Lithuania,LTU,65300
Surface area (sq. km),AG.SRF.TOTL.K2,Luxembourg,LUX,2590
Surface area (sq. km),AG.SRF.TOTL.K2,"Macao SAR, China",MAC,30.3
Surface area (sq. km),AG.SRF.TOTL.K2,"Macedonia, FYR",MKD,25710
Surface area (sq. km),AG.SRF.TOTL.K2,Madagascar,MDG,587295
Surface area (sq. km),AG.SRF.TOTL.K2,Malawi,MWI,118480
Surface area (sq. km),AG.SRF.TOTL.K2,Malaysia,MYS,330800
Surface area (sq. km),AG.SRF.TOTL.K2,Maldives,MDV,300
Surface area (sq. km),AG.SRF.TOTL.K2,Mali,MLI,1240190
Surface area (sq. km),AG.SRF.TOTL.K2,Malta,MLT,320
Surface area (sq. km),AG.SRF.TOTL.K2,Marshall Islands,MHL,180
Surface area (sq. km),AG.SRF.TOTL.K2,Mauritania,MRT,1030700
Surface area (sq. km),AG.SRF.TOTL.K2,Mauritius,MUS,2040
Surface area (sq. km),AG.SRF.TOTL.K2,Mexico,MEX,1964380
Surface area (sq. km),AG.SRF.TOTL.K2,"Micronesia, Fed. Sts.",FSM,700
Surface area (sq. km),AG.SRF.TOTL.K2,Moldova,MDA,33850
Surface area (sq. km),AG.SRF.TOTL.K2,Monaco,MCO,2
Surface area (sq. km),AG.SRF.TOTL.K2,Mongolia,MNG,1564120
Surface area (sq. km),AG.SRF.TOTL.K2,Montenegro,MNE,13810
Surface area (sq. km),AG.SRF.TOTL.K2,Morocco,MAR,446550
Surface area (sq. km),AG.SRF.TOTL.K2,Mozambique,MOZ,799380
Surface area (sq. km),AG.SRF.TOTL.K2,Myanmar,MMR,676590
Surface area (sq. km),AG.SRF.TOTL.K2,Namibia,NAM,824290
Surface area (sq. km),AG.SRF.TOTL.K2,Nauru,NRU,20
Surface area (sq. km),AG.SRF.TOTL.K2,Nepal,NPL,147180
Surface area (sq. km),AG.SRF.TOTL.K2,Netherlands,NLD,41500
Surface area (sq. km),AG.SRF.TOTL.K2,New Caledonia,NCL,18580
Surface area (sq. km),AG.SRF.TOTL.K2,New Zealand,NZL,267710
Surface area (sq. km),AG.SRF.TOTL.K2,Nicaragua,NIC,130370
Surface area (sq. km),AG.SRF.TOTL.K2,Niger,NER,1267000
Surface area (sq. km),AG.SRF.TOTL.K2,Nigeria,NGA,923770
Surface area (sq. km),AG.SRF.TOTL.K2,Northern Mariana Islands,MNP,460
Surface area (sq. km),AG.SRF.TOTL.K2,Norway,NOR,385178
Surface area (sq. km),AG.SRF.TOTL.K2,Oman,OMN,309500
Surface area (sq. km),AG.SRF.TOTL.K2,Pakistan,PAK,796100
Surface area (sq. km),AG.SRF.TOTL.K2,Palau,PLW,460
Surface area (sq. km),AG.SRF.TOTL.K2,Panama,PAN,75420
Surface area (sq. km),AG.SRF.TOTL.K2,Papua New Guinea,PNG,462840
Surface area (sq. km),AG.SRF.TOTL.K2,Paraguay,PRY,406752
Surface area (sq. km),AG.SRF.TOTL.K2,Peru,PER,1285220
Surface area (sq. km),AG.SRF.TOTL.K2,Philippines,PHL,300000
Surface area (sq. km),AG.SRF.TOTL.K2,Poland,POL,312680
Surface area (sq. km),AG.SRF.TOTL.K2,Portugal,PRT,92220
Surface area (sq. km),AG.SRF.TOTL.K2,Puerto Rico,PRI,8870
Surface area (sq. km),AG.SRF.TOTL.K2,Qatar,QAT,11610
Surface area (sq. km),AG.SRF.TOTL.K2,Romania,ROM,238390
Surface area (sq. km),AG.SRF.TOTL.K2,Russian Federation,RUS,17098250
Surface area (sq. km),AG.SRF.TOTL.K2,Rwanda,RWA,26340
Surface area (sq. km),AG.SRF.TOTL.K2,Samoa,WSM,2840
Surface area (sq. km),AG.SRF.TOTL.K2,San Marino,SMR,60
Surface area (sq. km),AG.SRF.TOTL.K2,Sao Tome and Principe,STP,960
Surface area (sq. km),AG.SRF.TOTL.K2,Saudi Arabia,SAU,2149690
Surface area (sq. km),AG.SRF.TOTL.K2,Senegal,SEN,196710
Surface area (sq. km),AG.SRF.TOTL.K2,Serbia,SRB,88360
Surface area (sq. km),AG.SRF.TOTL.K2,Seychelles,SYC,455
Surface area (sq. km),AG.SRF.TOTL.K2,Sierra Leone,SLE,72300
Surface area (sq. km),AG.SRF.TOTL.K2,Singapore,SGP,717
Surface area (sq. km),AG.SRF.TOTL.K2,Sint Maarten (Dutch part),SXM,34
Surface area (sq. km),AG.SRF.TOTL.K2,Slovak Republic,SVK,49036
Surface area (sq. km),AG.SRF.TOTL.K2,Slovenia,SVN,20270
Surface area (sq. km),AG.SRF.TOTL.K2,Solomon Islands,SLB,28900
Surface area (sq. km),AG.SRF.TOTL.K2,Somalia,SOM,637660
Surface area (sq. km),AG.SRF.TOTL.K2,South Africa,ZAF,1219090
Surface area (sq. km),AG.SRF.TOTL.K2,South Sudan,SSD,644330
Surface area (sq. km),AG.SRF.TOTL.K2,Spain,ESP,505940
Surface area (sq. km),AG.SRF.TOTL.K2,Sri Lanka,LKA,65610
Surface area (sq. km),AG.SRF.TOTL.K2,St. Kitts and Nevis,KNA,260
Surface area (sq. km),AG.SRF.TOTL.K2,St. Lucia,LCA,620
Surface area (sq. km),AG.SRF.TOTL.K2,St. Martin (French part),MAF,54.4
Surface area (sq. km),AG.SRF.TOTL.K2,St. Vincent and the Grenadines,VCT,390
Surface area (sq. km),AG.SRF.TOTL.K2,Sudan,SDN,1879357.5
Surface area (sq. km),AG.SRF.TOTL.K2,Suriname,SUR,163820
Surface area (sq. km),AG.SRF.TOTL.K2,Swaziland,SWZ,17360
Surface area (sq. km),AG.SRF.TOTL.K2,Sweden,SWE,447420
Surface area (sq. km),AG.SRF.TOTL.K2,Switzerland,CHE,41285
Surface area (sq. km),AG.SRF.TOTL.K2,Syrian Arab Republic,SYR,185180
Surface area (sq. km),AG.SRF.TOTL.K2,Tajikistan,TJK,142550
Surface area (sq. km),AG.SRF.TOTL.K2,Tanzania,TZA,947300
Surface area (sq. km),AG.SRF.TOTL.K2,Thailand,THA,513120
Surface area (sq. km),AG.SRF.TOTL.K2,Timor-Leste,TMP,14870
Surface area (sq. km),AG.SRF.TOTL.K2,Togo,TGO,56790
Surface area (sq. km),AG.SRF.TOTL.K2,Tonga,TON,750
Surface area (sq. km),AG.SRF.TOTL.K2,Trinidad and Tobago,TTO,5130
Surface area (sq. km),AG.SRF.TOTL.K2,Tunisia,TUN,163610
Surface area (sq. km),AG.SRF.TOTL.K2,Turkey,TUR,783560
Surface area (sq. km),AG.SRF.TOTL.K2,Turkmenistan,TKM,488100
Surface area (sq. km),AG.SRF.TOTL.K2,Turks and Caicos Islands,TCA,950
Surface area (sq. km),AG.SRF.TOTL.K2,Tuvalu,TUV,30
Surface area (sq. km),AG.SRF.TOTL.K2,Uganda,UGA,241550
Surface area (sq. km),AG.SRF.TOTL.K2,Ukraine,UKR,603550
Surface area (sq. km),AG.SRF.TOTL.K2,United Arab Emirates,ARE,83600
Surface area (sq. km),AG.SRF.TOTL.K2,United Kingdom,GBR,243610
Surface area (sq. km),AG.SRF.TOTL.K2,United States,USA,9831510
Surface area (sq. km),AG.SRF.TOTL.K2,Uruguay,URY,176220
Surface area (sq. km),AG.SRF.TOTL.K2,Uzbekistan,UZB,447400
Surface area (sq. km),AG.SRF.TOTL.K2,Vanuatu,VUT,12190
Surface area (sq. km),AG.SRF.TOTL.K2,"Venezuela, RB",VEN,912050
Surface area (sq. km),AG.SRF.TOTL.K2,Vietnam,VNM,330972
Surface area (sq. km),AG.SRF.TOTL.K2,Virgin Islands (U.S.),VIR,350
Surface area (sq. km),AG.SRF.TOTL.K2,West Bank and Gaza,WBG,6020
Surface area (sq. km),AG.SRF.TOTL.K2,"Yemen, Rep.",YEM,527970
Surface area (sq. km),AG.SRF.TOTL.K2,Zambia,ZMB,752610
Surface area (sq. km),AG.SRF.TOTL.K2,Zimbabwe,ZWE,390760
